Athlete_ID,Name,Gender,Grade,Athlete_Class,Event,Raw_Result,Result_In_Seconds,Result_In_Inches,Result_In_Meters,Wind,Placement,Date,Meet,Atmosphere,Race_Type,Season,Performance_Type
1,Jordan Ellis,Male,10,2025,100m,11.87,11.87,,,,6,2023-01-19,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
1,Jordan Ellis,Male,10,2025,100m,11.64,11.64,,,0.4,7,2023-02-08,City Championship,Indoor,Finals,2023 Indoor,Official
1,Jordan Ellis,Male,10,2025,100m,11.58,11.58,,,,4,2023-02-26,Tiger Classic,Indoor,Prelims,2023 Indoor,Official
1,Jordan Ellis,Male,10,2025,100m,11.33,11.33,,,-0.0,4,2023-03-21,County Championship,Outdoor,Finals,2023 Outdoor,Official
1,Jordan Ellis,Male,10,2025,100m,11.33,11.33,,,-0.9,3,2023-04-11,Section Qualifier,Outdoor,Finals,2023 Outdoor,Official
1,Jordan Ellis,Male,10,2025,100m,11.26,11.26,,,,4,2023-05-02,Regional Championship,Outdoor,Prelims,2023 Outdoor,Official
1,Jordan Ellis,Male,10,2025,100m,10.96,10.96,,,,5,2023-05-21,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
1,Jordan Ellis,Male,10,2025,100m,11.15,11.15,,,1.3,8,2023-05-25,State Championship,Outdoor,Finals,2023 Outdoor,Official
1,Jordan Ellis,Male,10,2025,100m,11.34,11.34,,,,6,2023-06-10,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
1,Jordan Ellis,Male,10,2025,200m,24.92,24.92,,,,7,2023-01-14,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
1,Jordan Ellis,Male,10,2025,200m,24.31,24.31,,,1.5,6,2023-02-07,City Championship,Indoor,Finals,2023 Indoor,Official
1,Jordan Ellis,Male,10,2025,200m,23.86,23.86,,,-0.9,5,2023-02-27,Tiger Classic,Indoor,Finals,2023 Indoor,Official
1,Jordan Ellis,Male,10,2025,200m,23.62,23.62,,,,6,2023-03-23,County Championship,Outdoor,Prelims,2023 Outdoor,Official
1,Jordan Ellis,Male,10,2025,200m,23.47,23.47,,,,1,2023-04-11,Section Qualifier,Outdoor,Finals,2023 Outdoor,Official
1,Jordan Ellis,Male,10,2025,200m,23.44,23.44,,,,7,2023-05-01,Regional Championship,Outdoor,Finals,2023 Outdoor,Official
1,Jordan Ellis,Male,10,2025,200m,23.70,23.7,,,,6,2023-05-02,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
1,Jordan Ellis,Male,10,2025,200m,23.31,23.31,,,,4,2023-05-21,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
1,Jordan Ellis,Male,10,2025,400m,56.72,56.72,,,,5,2023-01-19,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
1,Jordan Ellis,Male,10,2025,400m,55.82,55.82,,,,8,2023-02-07,City Championship,Indoor,Prelims,2023 Indoor,Official
1,Jordan Ellis,Male,10,2025,400m,54.80,54.8,,,,5,2023-02-26,Tiger Classic,Indoor,Finals,2023 Indoor,Official
1,Jordan Ellis,Male,10,2025,400m,54.27,54.27,,,,2,2023-03-22,County Championship,Outdoor,Finals,2023 Outdoor,Official
1,Jordan Ellis,Male,10,2025,400m,53.85,53.85,,,,3,2023-04-09,Section Qualifier,Outdoor,Prelims,2023 Outdoor,Official
2,Maya Brooks,Female,9,2026,100m,13.50,13.5,,,,6,2023-01-22,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
2,Maya Brooks,Female,9,2026,100m,13.35,13.35,,,0.6,1,2023-02-10,City Championship,Indoor,Finals,2023 Indoor,Official
2,Maya Brooks,Female,9,2026,100m,13.10,13.1,,,-1.1,4,2023-03-04,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
2,Maya Brooks,Female,9,2026,100m,12.90,12.9,,,-0.5,1,2023-03-22,County Championship,Outdoor,Finals,2023 Outdoor,Official
2,Maya Brooks,Female,9,2026,100m,12.89,12.89,,,1.2,5,2023-04-15,Section Qualifier,Outdoor,Finals,2023 Outdoor,Official
2,Maya Brooks,Female,9,2026,100m,12.68,12.68,,,0.7,4,2023-05-06,Regional Championship,Outdoor,Prelims,2023 Outdoor,Official
2,Maya Brooks,Female,9,2026,100m,13.20,13.2,,,,6,2023-05-10,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
2,Maya Brooks,Female,9,2026,100m,12.57,12.57,,,,6,2023-05-26,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
2,Maya Brooks,Female,9,2026,200m,28.95,28.95,,,,8,2023-01-18,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
2,Maya Brooks,Female,9,2026,200m,28.22,28.22,,,,8,2023-02-10,City Championship,Indoor,Finals,2023 Indoor,Official
2,Maya Brooks,Female,9,2026,200m,27.60,27.6,,,,1,2023-03-03,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
2,Maya Brooks,Female,9,2026,200m,27.18,27.18,,,1.6,9,2023-03-24,County Championship,Outdoor,Finals,2023 Outdoor,Official
2,Maya Brooks,Female,9,2026,200m,26.87,26.87,,,,3,2023-04-13,Section Qualifier,Outdoor,Finals,2023 Outdoor,Official
2,Maya Brooks,Female,9,2026,200m,27.06,27.06,,,,8,2023-04-21,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
2,Maya Brooks,Female,9,2026,200m,26.92,26.92,,,,2,2023-05-06,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
2,Maya Brooks,Female,9,2026,Long Jump,14-3.5,,171.5,4.36,,6,2023-01-21,Early Bird Invitational,Indoor,Prelims,2023 Indoor,Official
2,Maya Brooks,Female,9,2026,Long Jump,14-7,,175.0,4.44,,7,2023-02-07,City Championship,Indoor,Finals,2023 Indoor,Official
2,Maya Brooks,Female,9,2026,Long Jump,15-2.5,,182.5,4.64,,4,2023-03-01,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
2,Maya Brooks,Female,9,2026,Long Jump,15-5,,185.0,4.7,0.5,6,2023-03-24,County Championship,Outdoor,Finals,2023 Outdoor,Official
2,Maya Brooks,Female,9,2026,Long Jump,15-10,,190.0,4.83,-0.8,3,2023-04-11,Section Qualifier,Outdoor,Finals,2023 Outdoor,Official
2,Maya Brooks,Female,9,2026,Long Jump,16-3.5,,195.5,4.97,,1,2023-05-07,Regional Championship,Outdoor,Finals,2023 Outdoor,Official
3,Caleb Turner,Male,11,2024,200m,23.92,23.92,,,0.4,7,2023-01-20,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
3,Caleb Turner,Male,11,2024,200m,23.55,23.55,,,-1.3,5,2023-02-10,City Championship,Indoor,Prelims,2023 Indoor,Official
3,Caleb Turner,Male,11,2024,200m,23.42,23.42,,,,3,2023-03-07,Tiger Classic,Outdoor,Prelims,2023 Outdoor,Official
3,Caleb Turner,Male,11,2024,200m,23.05,23.05,,,0.5,4,2023-03-28,County Championship,Outdoor,Finals,2023 Outdoor,Official
3,Caleb Turner,Male,11,2024,400m,53.87,53.87,,,,4,2023-01-25,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
3,Caleb Turner,Male,11,2024,400m,53.20,53.2,,,,9,2023-02-14,City Championship,Indoor,Finals,2023 Indoor,Official
3,Caleb Turner,Male,11,2024,400m,52.07,52.07,,,,5,2023-03-04,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
3,Caleb Turner,Male,11,2024,400m,51.81,51.81,,,,6,2023-03-30,County Championship,Outdoor,Finals,2023 Outdoor,Official
3,Caleb Turner,Male,11,2024,400m,51.67,51.67,,,,11,2023-04-14,Section Qualifier,Outdoor,Finals,2023 Outdoor,Official
3,Caleb Turner,Male,11,2024,400m,50.98,50.98,,,,5,2023-05-11,Regional Championship,Outdoor,Finals,2023 Outdoor,Official
3,Caleb Turner,Male,11,2024,800m,2:08.87,128.87,,,,6,2023-01-23,Early Bird Invitational,Indoor,Prelims,2023 Indoor,Official
3,Caleb Turner,Male,11,2024,800m,2:06.67,126.67,,,,7,2023-02-10,City Championship,Indoor,Finals,2023 Indoor,Official
3,Caleb Turner,Male,11,2024,800m,2:04.35,124.35,,,,5,2023-03-09,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
3,Caleb Turner,Male,11,2024,800m,2:03.07,123.07,,,,3,2023-03-30,County Championship,Outdoor,Finals,2023 Outdoor,Official
3,Caleb Turner,Male,11,2024,800m,2:01.72,121.72,,,,5,2023-04-17,Section Qualifier,Outdoor,Finals,2023 Outdoor,Official
3,Caleb Turner,Male,11,2024,800m,2:01.64,121.64,,,,6,2023-04-28,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
3,Caleb Turner,Male,11,2024,800m,2:01.64,121.64,,,,8,2023-05-11,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
4,Arianna Cole,Female,10,2025,100m,13.72,13.72,,,0.4,5,2023-01-29,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
4,Arianna Cole,Female,10,2025,100m,13.67,13.67,,,,7,2023-02-14,City Championship,Indoor,Finals,2023 Indoor,Official
4,Arianna Cole,Female,10,2025,100m,13.42,13.42,,,-0.8,5,2023-03-07,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
4,Arianna Cole,Female,10,2025,100m,13.30,13.3,,,1.6,7,2023-03-30,County Championship,Outdoor,Finals,2023 Outdoor,Official
4,Arianna Cole,Female,10,2025,100m,13.10,13.1,,,1.9,3,2023-04-23,Section Qualifier,Outdoor,Prelims,2023 Outdoor,Official
4,Arianna Cole,Female,10,2025,Long Jump,15-0.5,,180.5,4.58,1.0,10,2023-01-24,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
4,Arianna Cole,Female,10,2025,Long Jump,15-5.5,,185.5,4.71,-0.6,8,2023-02-19,City Championship,Indoor,Finals,2023 Indoor,Official
4,Arianna Cole,Female,10,2025,Long Jump,15-8,,188.0,4.78,,6,2023-03-12,Tiger Classic,Outdoor,Prelims,2023 Outdoor,Official
4,Arianna Cole,Female,10,2025,Long Jump,16-2.5,,194.5,4.94,,2,2023-03-30,County Championship,Outdoor,Prelims,2023 Outdoor,Official
4,Arianna Cole,Female,10,2025,Triple Jump,31-5.5,,377.5,9.59,0.9,7,2023-01-25,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
4,Arianna Cole,Female,10,2025,Triple Jump,32-1,,385.0,9.78,,12,2023-02-17,City Championship,Indoor,Prelims,2023 Indoor,Official
4,Arianna Cole,Female,10,2025,Triple Jump,33-0,,396.0,10.06,-1.0,5,2023-03-08,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
4,Arianna Cole,Female,10,2025,Triple Jump,33-8,,404.0,10.26,-0.9,3,2023-04-02,County Championship,Outdoor,Finals,2023 Outdoor,Official
4,Arianna Cole,Female,10,2025,Triple Jump,34-2,,410.0,10.41,0.8,3,2023-04-21,Section Qualifier,Outdoor,Finals,2023 Outdoor,Official
4,Arianna Cole,Female,10,2025,Triple Jump,35-0,,420.0,10.67,,3,2023-05-09,Regional Championship,Outdoor,Finals,2023 Outdoor,Official
5,Devin Price,Male,9,2026,110mH,17.02,17.02,,,0.3,5,2023-01-31,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
5,Devin Price,Male,9,2026,110mH,16.77,16.77,,,0.4,1,2023-02-17,City Championship,Indoor,Finals,2023 Indoor,Official
5,Devin Price,Male,9,2026,110mH,16.35,16.35,,,-0.4,7,2023-03-13,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
5,Devin Price,Male,9,2026,110mH,15.97,15.97,,,0.0,3,2023-04-03,County Championship,Outdoor,Finals,2023 Outdoor,Official
5,Devin Price,Male,9,2026,110mH,15.62,15.62,,,,3,2023-04-23,Section Qualifier,Outdoor,Finals,2023 Outdoor,Official
5,Devin Price,Male,9,2026,110mH,15.62,15.62,,,,2,2023-05-09,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
5,Devin Price,Male,9,2026,110mH,15.86,15.86,,,,6,2023-05-23,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
5,Devin Price,Male,9,2026,High Jump,5-2,,62.0,1.57,,9,2023-01-31,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
5,Devin Price,Male,9,2026,High Jump,5-3,,63.0,1.6,,4,2023-02-22,City Championship,Indoor,Finals,2023 Indoor,Official
5,Devin Price,Male,9,2026,High Jump,5-6,,66.0,1.68,,6,2023-03-11,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
5,Devin Price,Male,9,2026,High Jump,5-8,,68.0,1.73,,7,2023-04-05,County Championship,Outdoor,Finals,2023 Outdoor,Official
5,Devin Price,Male,9,2026,High Jump,5-10,,70.0,1.78,,5,2023-04-26,Section Qualifier,Outdoor,Finals,2023 Outdoor,Official
5,Devin Price,Male,9,2026,High Jump,6-0,,72.0,1.83,,2,2023-05-12,Regional Championship,Outdoor,Prelims,2023 Outdoor,Official
5,Devin Price,Male,9,2026,Long Jump,18-6.5,,222.5,5.65,-1.3,5,2023-02-01,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
5,Devin Price,Male,9,2026,Long Jump,19-2,,230.0,5.84,-1.4,8,2023-02-18,City Championship,Indoor,Prelims,2023 Indoor,Official
5,Devin Price,Male,9,2026,Long Jump,19-4.5,,232.5,5.91,,2,2023-03-13,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
5,Devin Price,Male,9,2026,Long Jump,20-0,,240.0,6.1,-1.1,5,2023-04-03,County Championship,Outdoor,Prelims,2023 Outdoor,Official
5,Devin Price,Male,9,2026,Long Jump,20-2,,242.0,6.15,-1.5,1,2023-04-26,Section Qualifier,Outdoor,Finals,2023 Outdoor,Official
5,Devin Price,Male,9,2026,Long Jump,19-11.6,,239.6,6.09,,6,2023-05-06,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
5,Devin Price,Male,9,2026,Long Jump,19-10.1,,238.1,6.05,,2,2023-05-25,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
6,Nia Parker,Female,9,2027,100m,13.22,13.22,,,,8,2023-02-04,Early Bird Invitational,Indoor,Prelims,2023 Indoor,Official
6,Nia Parker,Female,9,2027,100m,13.08,13.08,,,-1.1,5,2023-02-20,City Championship,Indoor,Finals,2023 Indoor,Official
6,Nia Parker,Female,9,2027,100m,12.87,12.87,,,0.5,9,2023-03-14,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
